# CONFIG: NODES=50000 | MAP=20000 | MAX_RANGE=500 (Euclidean)
# ID Costo X Y
0 769 3648 819
1 238 9012 8024
2 702 4572 3358
3 614 17870 2848
4 40 13825 1041
5 248 3070 7164
6 37 16559 19726
7 743 18390 6515
8 235 17856 13746
9 294 14719 19309
10 724 212 5231
11 294 13848 11149
12 990 5094 7055
13 104 11029 3349
14 377 12449 3169
15 280 11270 19782
16 559 1423 15054
17 90 4090 12403
18 859 18089 9606
19 206 11850 18918
20 687 2279 1501
21 91 7467 9482
22 399 7628 3309
23 660 9108 14857
24 389 11954 5329
25 696 11641 6865
26 633 8748 2339
27 756 5607 17502
28 483 8021 5354
29 957 12433 8845
30 711 18250 7196
31 244 10626 1832
32 420 1051 10336
33 226 8773 2168
34 227 18585 10311
35 915 16358 12964
36 281 15035 4681
37 772 4575 8081
38 279 18394 17661
39 929 19155 14038
40 380 19121 13087
41 531 7186 4532
42 783 16171 2978
43 166 1543 3592
44 620 5242 13833
45 400 2081 12608
46 551 19526 15337
47 891 8238 18128
48 708 376 3753
49 797 17595 8743
50 310 11146 3655
51 474 14246 5182
52 522 106 8630
53 944 5854 16635
54 871 3486 9779
55 213 16635 19954
56 790 5008 12252
57 986 5293 17674
58 623 17378 18
59 29 10621 16010
60 909 3665 11894
61 69 10076 7846
62 979 7892 18591
63 759 2580 2806
64 788 15924 2267
65 141 17455 4120
66 179 15574 18015
67 903 8685 17290
68 997 19876 13865
69 783 6940 17671
70 418 6591 10214
71 931 12236 14355
72 133 16959 14794
73 75 8123 7362
74 612 11078 689
75 612 18150 7540
76 82 7216 235
77 79 1929 7501
78 82 1029 10827
79 295 16847 7798
80 562 15906 7020
81 600 4335 18711
82 813 15488 7962
83 204 15498 13338
84 684 3090 3176
85 443 14124 11609
86 894 13470 15303
87 72 1775 3224
88 829 13193 11118
89 206 3580 8147
90 469 6232 17573
91 197 4593 13824
92 265 9127 15159
93 837 2470 14520
94 61 18033 3208
95 105 17713 483
96 426 7745 5449
97 228 15913 15773
98 178 13141 1921
99 409 12418 70
100 302 8690 14909
101 687 13861 18211
102 204 15947 5072
103 69 9722 7133
104 72 18978 17766
105 61 10276 1873
106 524 19142 15623
107 68 17403 5158
108 881 16640 2625
109 619 6089 2245
110 423 2226 7707
111 262 3928 18667
112 50 18970 19481
113 683 2686 13737
114 545 19125 18521
115 219 10366 8544
116 281 10295 7821
117 697 12969 4288
118 333 9830 14982
119 479 2377 305
120 85 18448 3276
121 528 17617 6984
122 965 8690 4340
123 910 11436 2254
124 301 8004 12108
125 863 5169 14358
126 636 17800 9912
127 693 17332 256
128 964 18173 9810
129 280 3394 4400
130 770 3782 3507
131 288 18128 5093
132 225 9232 19819
133 713 11235 6671
134 510 8650 16561
135 104 8228 1664
136 55 13879 9066
137 799 116 10929
138 175 4286 8583
139 732 14478 18077
140 19 14014 18379
141 977 3665 2465
142 46 4884 17877
143 575 12098 19087
144 140 4852 14083
145 383 1370 10101
146 225 1307 11724
147 372 8176 3368
148 645 18346 13316
149 895 5064 7757
150 912 5324 5801
151 193 13510 812
152 831 10885 13491
153 173 8131 8742
154 903 3542 12535
155 237 1268 15423
156 368 6539 15083
157 238 10000 7457
158 418 775 6328
159 895 10756 9129
160 369 2274 9146
161 705 16692 13096
162 971 17570 10851
163 908 904 3779
164 604 8559 5851
165 121 8698 1253
166 363 19548 14239
167 630 10278 14299
168 404 16758 3789
169 270 18893 6228
170 11 1454 14288
171 713 17036 17643
172 451 6456 11934
173 648 2292 10819
174 747 10286 4083
175 326 9840 16617
176 422 13382 10688
177 140 9688 18166
178 690 6286 13777
179 640 12423 5702
180 425 18648 9861
181 321 17954 13
182 450 9401 6887
183 680 19004 19879
184 462 10559 15236
185 533 14488 7002
186 684 15505 5560
187 537 2778 9299
188 848 10983 3060
189 240 7696 10171
190 35 6525 4828
191 496 1514 8023
192 434 2386 14923
193 745 18863 6371
194 419 12582 16199
195 681 7994 4835
196 807 181 3492
197 190 13931 7170
198 61 16972 15222
199 949 18265 8165
200 146 3976 14957
201 582 15225 17404
202 982 19511 10397
203 446 14502 16540
204 928 17952 14611
205 470 5215 15554
206 870 8493 8101
207 506 9086 17081
208 460 7839 8998
209 250 2538 9362
210 337 8903 11005
211 151 17699 2640
212 402 4942 7577
213 75 5007 7010
214 348 13594 13356
215 435 17780 15267
216 862 2040 6777
217 936 13767 12762
218 887 19139 640
219 498 18864 12464
220 315 193 11526
221 561 12779 13730
222 929 17895 19767
223 234 7226 15998
224 507 8943 14281
225 354 951 12742
226 870 13248 5408
227 647 15315 4182
228 938 17502 883
229 587 12911 19395
230 668 888 2750
231 897 14044 4446
232 61 15128 5954
233 345 8524 12422
234 344 6935 14899
235 294 11059 12423
236 864 13813 8266
237 29 2683 15411
238 984 17675 1706
239 675 11467 7347
240 782 2248 1319
241 214 1016 8102
242 254 667 4993
243 695 4136 15517
244 980 3748 18480
245 726 7142 15238
246 181 8396 12087
247 996 19853 19898
248 997 3753 5366
249 602 10192 3542
250 599 841 10222
251 974 12298 12997
252 616 6498 2490
253 723 7957 3339
254 834 9882 19674
255 811 3966 18544
256 555 1345 11377
257 80 14037 12142
258 22 16579 11181
259 118 13764 16062
260 660 14205 11868
261 455 15064 5013
262 998 5771 17096
263 803 8850 17634
264 456 15843 15232
265 340 19414 8794
266 295 8044 2839
267 778 14771 7990
268 634 15227 18672
269 39 12418 11023
270 196 16197 10650
271 373 15976 6950
272 296 8465 11152
273 579 19534 9052
274 980 332 16928
275 257 6260 2805
276 578 13317 16009
277 671 7874 15600
278 821 16083 14685
279 311 565 3049
280 718 7261 13251
281 689 7972 10033
282 494 19056 12092
283 362 18136 17397
284 348 13942 18035
285 287 11528 14868
286 246 10047 8237
287 333 3953 6310
288 983 3917 17559
289 231 6066 6276
290 751 15866 9060
291 621 19319 17191
292 862 9273 3294
293 242 6360 9707
294 319 11825 5879
295 139 463 17502
296 65 8988 1491
297 724 18132 9572
298 115 4137 16085
299 301 401 18810
300 461 15381 15686
301 998 11164 6041
302 973 1683 8273
303 851 15654 3738
304 513 2141 13130
305 654 2427 18907
306 162 1756 4971
307 97 18443 9956
308 581 8132 3881
309 620 13637 19867
310 399 7395 17123
311 314 14762 14507
312 322 19284 14051
313 634 18632 1973
314 650 3251 6808
315 686 6914 8671
316 255 2660 5146
317 86 5695 18087
318 428 5129 87
319 491 14762 19458
320 247 9543 1069
321 729 9440 9264
322 713 14877 2332
323 816 7648 8668
324 445 19326 6482
325 240 3760 17844
326 856 4882 8704
327 71 4660 2339
328 619 5436 10079
329 459 18651 9457
330 715 4074 15358
331 975 9964 13189
332 562 8920 16399
333 92 16180 14344
334 920 19596 1306
335 628 14156 10561
336 103 8204 847
337 611 7501 18848
338 600 679 8831
339 491 1318 5740
340 948 17005 14490
341 609 9114 5947
342 103 14283 16112
343 428 15401 11401
344 696 10921 10520
345 347 3427 5269
346 305 13488 16235
347 47 13122 18025
348 332 14903 2885
349 128 8270 10593
350 854 13244 16862
351 483 37 17779
352 202 13541 1776
353 647 16988 11854
354 788 16334 14484
355 283 1691 6670
356 959 17996 4293
357 911 9438 14356
358 39 15883 3978
359 736 19951 7841
360 574 5189 10182
361 427 448 18096
362 871 3054 7362
363 979 3717 15120
364 520 3849 5045
365 732 9563 16674
366 864 8959 13614
367 259 15810 15473
368 158 14967 18063
369 953 12569 6245
370 774 19640 16654
371 292 4473 2287
372 966 13596 11137
373 850 16637 8754
374 753 84 9268
375 603 9783 19232
376 467 16044 4869
377 363 17648 15870
378 791 10893 18085
379 476 17807 12360
380 724 10544 6181
381 402 7825 18736
382 54 7653 13460
383 732 10426 15498
384 689 12492 12651
385 997 4984 16230
386 524 1213 4136
387 900 19339 10878
388 112 3288 14427
389 25 17234 14972
390 901 4723 13434
391 490 5058 2451
392 648 8684 11093
393 882 13024 2631
394 399 10766 17485
395 903 10376 15989
396 642 17728 1176
397 656 2242 7692
398 774 9416 7454
399 110 2961 14220
400 180 3293 14538
401 57 9812 948
402 310 10629 1838
403 451 11746 12282
404 553 4770 8001
405 708 13502 18544
406 189 5900 5570
407 901 2587 19971
408 519 12535 7891
409 247 19108 4689
410 480 15110 8322
411 930 8366 307
412 703 15245 9425
413 85 17910 5176
414 611 14474 11323
415 716 9802 13903
416 875 8195 14969
417 403 9899 6527
418 252 15833 3494
419 377 12496 18740
420 726 18835 9695
421 859 9674 718
422 18 12969 8994
423 942 18544 1607
424 862 19870 16276
425 631 9378 7540
426 661 11544 7176
427 704 6230 8212
428 935 4481 3183
429 817 1291 10123
430 603 14444 1093
431 102 11955 4306
432 775 9670 10705
433 215 13615 5755
434 907 4330 17675
435 523 11988 17394
436 273 8930 5391
437 774 15789 9671
438 489 11099 3773
439 782 2467 4612
440 1000 7392 13022
441 102 18262 11985
442 280 12929 456
443 475 17582 4049
444 608 12077 8590
445 120 12485 12172
446 35 7661 15449
447 947 18396 10748
448 673 19991 7253
449 941 2071 15213
450 129 9902 13379
451 978 4580 1485
452 514 1219 9973
453 250 3805 3184
454 407 17614 4445
455 696 14864 12157
456 611 17701 13733
457 680 5063 13594
458 640 3244 16034
459 43 13373 9166
460 464 12141 7119
461 885 14571 7736
462 712 11884 3255
463 933 12036 17841
464 417 11753 1984
465 135 9040 6219
466 688 14900 3003
467 31 6950 19567
468 259 1657 10928
469 220 4126 18500
470 222 2248 18160
471 842 19214 7076
472 802 7634 10766
473 12 4835 19529
474 143 9085 4741
475 827 17701 8213
476 686 5717 3602
477 25 844 4318
478 612 11738 7796
479 188 10609 517
480 139 8695 1717
481 126 13794 17238
482 469 2082 15605
483 617 11863 16817
484 525 3573 14811
485 754 7259 1420
486 479 17086 9883
487 500 1020 1993
488 712 13160 13968
489 739 3537 16065
490 930 14534 2408
491 632 2647 10554
492 139 4860 2152
493 571 9011 19181
494 621 10655 12481
495 474 17385 9663
496 450 16565 19838
497 883 3249 3749
498 450 18066 7045
499 433 14796 7487
500 418 11106 14860
501 330 13631 3115
502 691 13984 10240
503 986 8352 12265
504 78 5001 15540
505 105 2989 2797
506 772 14151 3164
507 579 12210 4263
508 989 1965 19217
509 347 18402 18405
510 372 4005 13461
511 304 13858 1685
512 370 19674 10238
513 529 3394 18937
514 682 6971 5070
515 877 15800 7348
516 875 3546 11472
517 127 18227 12044
518 241 9128 18812
519 795 14061 18381
520 633 18243 860
521 194 8763 948
522 953 8954 10124
523 16 11135 11502
524 589 5944 4694
525 155 13132 2280
526 774 1004 3006
527 395 17382 7049
528 359 13757 14865
529 329 5157 12125
530 620 10629 18598
531 169 2783 1723
532 700 5158 1630
533 463 2673 8916
534 631 13894 15914
535 289 14484 13571
536 126 7063 16788
537 123 11310 14087
538 508 9281 19435
539 56 17266 10106
540 623 7225 12951
541 219 1795 251
542 795 9876 6921
543 306 4496 8372
544 17 10751 3931
545 189 16298 14111
546 555 4233 12458
547 582 7540 16392
548 416 11605 2361
549 29 1386 14294
550 892 15065 2551
551 449 10258 18866
552 736 18789 13252
553 127 13686 9486
554 999 13272 683
555 830 10642 5631
556 100 15076 11857
557 259 14310 3468
558 420 14276 19296
559 415 17169 2577
560 236 10167 11125
561 88 10913 5509
562 553 16727 3736
563 937 16710 6353
564 754 11448 11504
565 115 4839 7742
566 212 4798 8387
567 166 5685 19739
568 984 2469 5804
569 782 16191 15202
570 469 18472 18988
571 894 18497 10590
572 460 10359 4946
573 462 2237 15365
574 615 9922 9000
575 529 1840 11532
576 482 2431 10171
577 68 14808 1232
578 88 12082 9406
579 529 2958 19466
580 604 12598 15162
581 470 18163 1344
582 339 18732 6168
583 523 19824 15585
584 471 4943 2027
585 741 3391 11253
